word_help;id;ask;toask;Question;Шаг 1;Шаг 2;Шаг 3;Шаг 4;Шаг 5;Шаг 6;Шаг 7;Шаг 8;Шаг 9;Шаг 10;Шаг 11;Шаг 12;Шаг 13;Шаг 14
оплатить услуга охранный система;231;Платежи и переводы;Охранные системы;Как оплатить услуги охранной системы;Перейдите на вкладку «Платежи и переводы»;Найдите нужного поставщика услуг с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Охранные системы», а затем выберите поставщика из списка.     Если поставщика не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».;Введите данные и нажмите «Оплатить»;Введите SMS-код для подтверждения;Чтобы оплачивать охранные системы еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.; ; ; ; ; ; ; ; ; 
оплатить услуга страхование;233;Платежи и переводы;Страхование;Как оплатить услуги страхования;Перейдите на вкладку «Платежи и переводы»;Найдите нужного поставщика услуг с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Страхование», а затем выберите поставщика из списка.     Если поставщика не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».;Введите данные и нажмите «Продолжить»;Введите сумму платежа и нажмите «Оплатить»;Чтобы оплачивать услуги страхования еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.; ; ; ; ; ; ; ; ; 
оплатить туристический услуга;235;Платежи и переводы;Туристические услуги;Как оплатить туристические услуги;Перейдите на вкладку «Платежи и переводы»;Найдите нужную компанию с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Туристические услуги», а затем выберите компанию из списка.     Если нужную компанию не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».;Введите данные и нажмите «Оплатить»;Введите SMS-код для подтверждения;Чтобы оплачивать туристические услуги еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.; ; ; ; ; ; ; ; ; 
оплатить авиа далее билет;237;Платежи и переводы;Авиа и ж/д билеты;Как оплатить авиа и ж/д билеты;Перейдите на вкладку «Платежи и переводы»;Найдите нужную компанию с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Авиа и ж/д билеты», а затем выберите компанию из списка.     Если нужную компанию не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».;Введите данные и нажмите «Оплатить»;Введите SMS-код для подтверждения;Чтобы оплачивать билеты еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.; ; ; ; ; ; ; ; ; 
оплатить пенсионный взнос;239;Платежи и переводы;Пенсионные взносы;Как оплатить пенсионные взносы;Перейдите на вкладку «Платежи и переводы»;Найдите компанию с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Авиа и ж/д билеты», а затем выберите компанию из списка.     Если нужную компанию не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».;Введите данные и нажмите «Продолжить» или «Оплатить»;Введите SMS-код для подтверждения;Чтобы оплачивать пенсионнные взносы еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.; ; ; ; ; ; ; ; ; 
найти оплатить услуга поставщик;241;Платежи и переводы;Поиск поставщика;Как найти и оплатить услуги поставщика;Перейдите на вкладку «Платежи и переводы»;Найдите поставщика услуг с помощью поиска по названию/ИНН.     Если нужного поставщика не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».;Введите необходимые данные, сумму и нажмите «Оплатить»;Введите SMS-код для подтверждения операции;Чтобы оплачивать услуги еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.; ; ; ; ; ; ; ; ; 
перевести деньга благотворительность;243;Платежи и переводы;Благотворительность;Как перевести деньги на благотворительность;Перейдите на вкладку «Платежи и переводы»;Найдите благотворительный фонд с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Благотворительность», а затем выберите нужный фонд из списка.     Если нужную фонд не удалось найти, переведите деньги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».;Введите данные и нажмите «Оплатить»;Введите SMS-код для подтверждения;Чтобы переводить деньги на благотворительность еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.; ; ; ; ; ; ; ; ; 
посмотреть мой фио телефон;257;Данные клиента;просмотр ;Как посмотреть мои ФИО и телефон;Ваше имя указано в правом верхнем углу экрана. Телефон, который используется для входа в мобильный или интернет-банк, можно посмотреть только в мобильном банке; ; ; ; ; ; ; ; ; ; ; ; ; 
разрешить перевод номер телефон;261;Платежи и переводы;По номеру телефона;Как разрешить переводы по номеру телефона;Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу;Нажмите «Настройки переводов»;Назмите на кнопку напротив текста «Разрешить получение переводов по номеру телефона» — вы сможете получать переводы по номеру телефона из других банков через Систему быстрых платежей и внутри банка, с карт «Открытия»;Выберите счет для получения переводов; ; ; ; ; ; ; ; ; ; 
выйти учётный запись;277;Профиль; ;Как выйти из учетной записи;В правом верхнем углу экрана нажмите «Выйти» рядом с вашим именем; ; ; ; ; ; ; ; ; ; ; ; ; 
узнать международный реквизит валютный накопительный счёт;287;Накопительные счета;Реквизиты;Как узнать международные реквизиты валютного накопительного счета;Перейдите в раздел «Мои продукты».;В разделе «Счета» нажмите «Накопительные».;Выберите нужный долларовый счет и нажмите «Реквизиты».;Нажмите «$» — в новом окне появятся международные реквизиты.;Чтобы скопировать отдельные строки, нажмите иконку документов справа. Чтобы скопировать все реквизиты — кнопку «Скопировать все».; ; ; ; ; ; ; ; ; 
перевести деньга номер телефон другой банк;293;Платежи и переводы;По номеру телефона;Как перевести деньги по номеру телефона в другой банк;Перейдите на вкладку «Платежи и переводы»;В разделе «Переводы» нажмите «Перевод по номеру телефона»;Выберите, откуда перевсти деньги, введите номер телефона получателя, выберие банк получателя, сумму перевода и нажмите «Перевести»;Введите SMS-код для подтверждения;Перевод принят в обработку. Вы можете посмотреть квитанцию, создать шаблон, настроить автоплатеж или повторить перевод.; ; ; ; ; ; ; ; ; 
перевести деньга другой человек себя счёт друг банк реквизит;297;Платежи и переводы;На счет физлица;Как перевести деньги другому человеку или себе на счет в другом банке по реквизитам;Перейдите на вкладку «Платежи и переводы»;В разделе «Переводы» нажмите «Перевод по реквизитам»;Введите номер счета получателя, БИК, сумму, укажите назначение платежа и вид выплат. Нажмите «Перевести»;Введите SMS-код для подтверждения;Перевод принят в обработку. Вы можете посмотреть квитанцию, создать шаблон, настроить автоплатеж или повторить перевод.; ; ; ; ; ; ; ; ; 
перевести деньга карта карта;299;Платежи и переводы;С карты на карту;Как перевести деньги с карты на карту;Перейдите на вкладку «Платежи и переводы»;В разделе «Переводы» нажмите «Перевод с карты на карту»;Выберите карту, с которой хотите перевести деньги и карту, на которую хотите отправить платеж. Если переводите не со своей карты «Открытие», не забудьте ввести срок действия карты и cvv-код. Введите сумму и нажмите «Перевести»;Введите SMS-код для подтверждения;Перевод принят в обработку. Вы можете посмотреть квитанцию, создать шаблон, настроить автоплатеж или повторить перевод.; ; ; ; ; ; ; ; ; 
перевести деньга свой счёт;301;Платежи и переводы;Между своими счетами;Как перевести деньги между своими счетами;Перейдите на вкладку «Платежи и переводы»;В разделе «Переводы» нажмите «Перевод между своими счетами и картами»;Выберите карту или счет, введите сумму и нажмите «Перевести»;Нажмите «Подтвердить»;Перевод принят в обработку. Вы можете посмотреть квитанцию, создать шаблон, настроить автоплатеж или повторить перевод.; ; ; ; ; ; ; ; ; 
перевести деньга реквизит юридический лицо ип;303;Платежи и переводы;По реквизитам ЮЛ/ИП;Как перевести деньги по реквизитам юридическим лицам/ИП;Перейдите на вкладку «Платежи и переводы»;В разделе «Переводы» нажмите «Перевод по реквизитам»;Введите номер счета и БИК получателя, нажмите «Перевести»;Введите SMS-код для подтверждения;Перевод принят в обработку. Вы можете посмотреть квитанцию, создать шаблон, настроить автоплатеж или повторить перевод.; ; ; ; ; ; ; ; ; 
отключить перевод номер телефон другой банк;309;Платежи и переводы;По номеру телефона;Как отключить переводы по номеру телефона из других банков;Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу;Нажмите «Настройки переводов»;Нажмите «Разрешить переводы по номеру телефона из других банков». Кнопка станет серой;Переводы по номеру телефона выключены; ; ; ; ; ; ; ; ; ; 
выбрать счёт получение перевод номер телефон;311;Платежи и переводы;По номеру телефона;Как выбрать счет для получения переводов по номеру телефона;Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу;Нажмите «Настройки переводов»;Нажмите на галочку для выбора карты, на которую будут осуществляться переводы, выберите счет или карту; ; ; ; ; ; ; ; ; ; ; 
отключить уведомление карта;313;Карты;SMS-уведомления;Как отключить уведомления для карты;Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу;Выберите раздел «SMS-инфо»;Выберите нужную карту и нажмите «Отключить / изменить номер»; ; ; ; ; ; ; ; ; ; ; 
получить справка доступный остаток русский язык;314;Карты;Справки и выписки;Как получить справку о доступном остатке на русском языке;На вкладке «Мои продукты» в разделе «Карты» выберите карту и нажмите «Справки»;Нажмите «О доступном остатке на русском языке»;Нажмите «Скачать», чтобы сохранить справку отдельным файлом на своем ПК;Чтобы отправить справку по электронной почте, нажмите «Отправить на e-mail», введите e-mail и нажмите «Отправить»;Справка успешно отправлена; ; ; ; ; ; ; ; ; 
получить справка доступный остаток английский язык;315;Карты;Справки и выписки;Как получить справку о доступном остатке на английском языке;На вкладке «Мои продукты» в разделе «Карты» выберите карту и нажмите «Справки»;Нажмите «О доступном остатке на английском языке»;Нажмите «Скачать», чтобы сохранить справку отдельным файлом на своем ПК;Нажмите «Отправить на e-mail», чтобы отправить справку по электронной почте. Введите e-mail и нажмите «Отправить»;Справка успешно отправлена; ; ; ; ; ; ; ; ; 
получить справка движение денежный средство;316;Карты;Справки и выписки;Как получить справку о движении денежных средств;На вкладке «Мои продукты» в разделе «Карты» выберите карту и нажмите «Справки»;Нажмите «О движении денежных средств»;Выберите срок, за который хотите сформировать справку, нажмите «Скачать», чтобы сохранить справку отдельным файлом на своем ПК;Нажмите «Отправить на e-mail», чтобы отправить справку по электронной почте. Введите e-mail и нажмите «Отправить»;Справка успешно отправлена; ; ; ; ; ; ; ; ; 
перевести деньга свой счёт другой банк номер телефон;320;Платежи и переводы;По номеру телефона;Как перевести деньги на свой счет в другой банк по номеру телефона;Перейдите на вкладку «Платежи и переводы»;В разделе «Переводы» нажмите «Перевод между своими счетами»;В поле «Откуда» выберите, с какого счета/карты перевести деньги;В поле «Куда» выберите «На свой счет в другой банк».;В поле «Банк получателя» выберите банк, укажите сумму и нажмите «Перевести».     Примечание: Перевод по номеру телефону отправится с помощью Системы быстрых платежей (СБП);Введите SMS-код для подтверждения;Перевод принят в обработку. Срок зачисления денег от нескольких минут до нескольких дней; ; ; ; ; ; ; 
узнать лимит кредитный карта;325;Кредитные карты;Лимиты;Как узнать лимит по кредитной карте;Во вкладке «Мои продукты» найдите нужную кредитную карту. Лимит кредитной карты указан справа под ее балансом; ; ; ; ; ; ; ; ; ; ; ; ; 
узнать сумма минимальный ежемесячный платёж;328;Кредитные карты;Минимальный ежемесячный платеж;Как узнать сумму минимального ежемесячного платежа;На вкладке «Мои продукты» в разделе «Кредиты» найдите нужную кредитную карту;Сумма минимального ежемесячного платежа будет указана под текстом «Скрыть операции и детали»; ; ; ; ; ; ; ; ; ; ; ; 
узнать дата внесение минимальный ежемесячный платёж;330;Кредитные карты;Дата платежа;Как узнать дату внесения минимального ежемесячного платежа;Дату внесения минимального ежемесячного платежа можно узнать в мобильном банке; ; ; ; ; ; ; ; ; ; ; ; ; 
узнать общий задолженность кредитный карта;332;Кредитные карты;Общая задолженность;Как узнать общую задолженность по кредитной карте;На вкладке «Мои продукты» выберите нужную кредитную карту и нажмите на «Показать операции и детали»;Сумма общей задолженности будет указана под текстом «Скрыть операции и детали»; ; ; ; ; ; ; ; ; ; ; ; 
поменять логин пароль вход интернет банк;333;Вход в интернет-банк;Изменение данных;Как поменять логин или пароль для входа в интернет-банк;Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу;Выберите «Настройки входа» и нажмите на карандаш справа от логина или пароля для того, чтобы их изменить;Нажмите на карандаш, введите новый логин и текущий пароль. Нажмите «Сохранить»;Введите SMS-код для подтверждения операции;Чтобы изменить пароль, нажмите на карандаш справа от пароля;В новом окне введите новый пароль два раза, а также текущий пароль для подтверждения операции. Нажмите «Сохранить»;Подтвердите изменения и введите SMS-код; ; ; ; ; ; ; 
посмотреть курс валюта;336;Обмен валют;Курс валют;Как посмотреть курсы валют;Курсы валют отображаются в верхней части страницы под вашим именем;Чтобы посмотреть подробнее, наведите курсор на курсы валют; ; ; ; ; ; ; ; ; ; ; ; 
обменять валюта есть валютный счёт;338;Обмен валют;С валютным счетом;Как обменять валюту, если есть валютный счет;Наведите курсор мыши на курсы валют — они отображаются в верхней части экрана под вашим именем;В появившемся окне нажмите «Обменять валюту»;Выберите карту или счет, откуда хотите снять деньги и карту, куда хотите перевести деньги (они должны быть в разных валютах), введите сумму и нажмите «Перевести»;Нажмите «Подтвердить»;Перевод принят в обработку; ; ; ; ; ; ; ; ; 
сделать открытие банк умолчание;341;Платежи и переводы;По номеру телефона;Как сделать «Открытие» банком по умолчанию;Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу;Нажмите «Настройки переводов»;Проверьте, что у вас разрешено получение переводов по номеру телефона — кнопка рядом с полем должна быть синей;Нажмите на кнопку напротив «Сделать «Открытие» банком по умолчанию»;Введите SMS-код для подтверждения;Готово, вы сделали карту «Открытия» картой по умолчанию. Это значит, что отправителю не придется каждый раз искать ваш банк в списке — система сразу его покажет. Если к вашему номеру привязаны карты других банков-участников Системы быстрых платежей, кнопка для установки карты «Открытия» по умолчанию заблокируется. Но в любой момент вы можете установить картой по умолчанию карту другого банка, но только в его приложении.; ; ; ; ; ; ; ; 
добавить документ получать он счёт оплата штраф налог 1;343;Счета на оплату;Мои документы;Как добавить документ, чтобы получать по нему счета на оплату штрафов и налогов (1);Перейдите вкладку «Мои продукты» или «Платежи и переводы»;Перейдите в раздел «Счета на оплату» и нажмите на стрелку справа, чтобы посмотреть все счета.;Нажмите «Добавить документ»;Выберите из списка документ, по которому хотите получать уведомления:  — паспорт РФ   — ИНН   — СНИЛС  — свидетельство о регистрации ТС  — водительское удостоверение;Нажмите «Добавить»;Подписка успешно создана. Выставленные счета будут отображаться во вкладках «Мои продукты» и «Платежи и переводы» в разделе «Счета на оплату»; ; ; ; ; ; ; ; 
добавить документ получать он счёт оплата штраф налог 2;343;Счета на оплату;Мои документы;Как добавить документ, чтобы получать по нему счета на оплату штрафов и налогов (2);Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу;Перейдите в раздел «Мои документы»;Нажмите «Добавить документ»;Выберите из списка документ, по которому хотите получать уведомления:  — паспорт РФ   — ИНН   — СНИЛС  — свидетельство о регистрации ТС  — водительское удостоверение;Нажмите «Добавить»;Подписка успешно создана. Выставленные счета будут отображаться во вкладках «Мои продукты» и «Платежи и переводы» в разделе «Счета на оплату»; ; ; ; ; ; ; ; 
создать автоплатёж расписание совершение операция;344;Автоплатежи;по расписанию;Как создать автоплатеж по расписанию после совершения операции;Cовершите любой платеж (кроме перевода с чужой карты на свою и переводов по номеру телефона, а также многоэтапных платежей), нажмите «Автоплатеж»;Перейдите на вкладку «По расписанию».;Введите название автоплатежа, сумму и укажите периодичность, с которой его нужно совершать: один раз, ежедневно, раз в неделю или раз в месяц. Если необходимо, уточните дату или период.;Подтвердите создание автоплатежа SMS-кодом;Автоплатеж создан; ; ; ; ; ; ; ; ; 
посмотреть история начисление списание бонусный рубль;365;Программа лояльности;История начислений;Как посмотреть историю начислений и списаний бонусных рублей;Нажмите на баланс бонусных рублей в шапке сайта;В открывшемся окне выберите раздел «История»;Ниже отобразится история операций по бонусным рублям. Выберите какие операции хотите посмотреть: «Все», «Начисления» или «Списания». Выберите период;Если нажать на операцию начисления бонусов за конкретный месяц - справа отобразятся выполненные условия и активная категория в выбранный период;Если нажать на компенсацию покупки бонусами, то справа отобразится название организации, где была сделана компенсированная покупка, МСС код и дата компенсации.; ; ; ; ; ; ; ; ; 
перевести деньга номер телефон любой банк отправка ссылка;366;Платежи и переводы;По номеру телефона;Как перевести деньги по номеру телефона в любой банк с отправкой ссылки;Перейдите на вкладку «Платежи и переводы»;В разделе «Переводы» выберите «По номеру телефона»;Выберите источник списания, введите номер телефона получателя. Выберите «Любой банк» в поле «Банк получателя»;Введите сумму и нажмите «Перевести».     Примечание: За переводы по номеру телефона в любой банк есть комиссия — 1,5% и не менее 50 рублей за один перевод. Для держателей дебетовых карт Opencard такие переводы бесплатны.;Введите SMS-код для подтверждения операции;Ссылка успешно отправлена и придет получателю в SMS. Для получения перевода получателю нужно перейти по ней, указать номер карты, на которую он хочет получить перевод и ввести SMS-код.     Ссылка будет активна 12 часов. Если получатель не воспользуется ссылкой за это время, деньги вернутся на карту отправителя; ; ; ; ; ; ; ; 
посмотреть аналитик расход карта;370;Карты;Аналитика финансов;Как посмотреть аналитику расходов по карте;Перейдите в раздел «История операций». На экране отобразится история операций и аналитика финансов по картам;Укажите карту, выберите период, категории и нажмите «Расходы»;Ниже появится информация о всех расходах по заданным параметрам; ; ; ; ; ; ; ; ; ; ; 
снять деньга вклад;372;Вклады; ;Как снять деньги со вклада;На вкладке «Мои продукты» найдите раздел «Вклады». Нажмите «Снять»;Вы попадете на страницу «Переводы». Выберите карту или счет, куда хотите перевести деньги со вклада, введите сумму и нажмите «Перевести»;Нажмите «Подтвердить»;Перевод принят в обработку.; ; ; ; ; ; ; ; ; ; 
изменить название документ которм я получать счёт оплата;374;Счета на оплату;Мои документы;Как изменить название документа, по которму я получаю счета на оплату;На вкладке «Мои продукты» или «Платежи и переводы» перейдите в раздел «Счета на оплату» и нажмите на стрелку справа, чтобы посмотреть все счета.;Нажмите «Мои документы»;Выберите документ, название которого вы хотите отредактировать;Введите новое название и нажмите «Сохранить»; ; ; ; ; ; ; ; ; ; 
посмотреть сколько бонус я получить каждый покупка;376;Программа лояльности;Начисления;Как посмотреть, сколько бонусов я получу за каждую покупку;На вкладке «Мои продукты» выберите карту и нажмите «Показать операции детали»;Ниже появится история операций по карте. Количество бонусов отражается под суммой каждой покупки; ; ; ; ; ; ; ; ; ; ; ; 
восстановить пароль;378;Восстановление пароля; ;Как восстановить пароль;Если вы забыли пароль, нужно снова пройти регистрацию в интернет-банке. На странице входа в интернет-банк нажмите «Нужен пароль?» или «Регистрация»;Введите номер карты, согласитесь с правилами использования интернет-банка и нажите «Продолжить»;Введите код из SMS и нажмите «Продолжить»;Придумайте логин и пароль, повторите пароль и нажмите «Продолжить»;Регистрация прошла успешно. Нажмите «Войти в интернет-банк»; ; ; ; ; ; ; ; ; 
посмотреть остаток лимит перевод комиссия opencard зарплатный opencard;380;Карты;Лимиты;Как посмотреть остаток лимита на переводы без комиссии по Opencard/зарплатной Opencard;На вкладке «Мои продукты» выберите карту Opencard и нажмите «Показать операции детали»;Ниже появится информация о сумме переводов, доступных без комиссии в текущем месяце.; ; ; ; ; ; ; ; ; ; ; ; 
зарегистрироваться интернет банк номер карта;385;Регистрация;по номеру карты;Как зарегистрироваться в интернет-банке по номеру карты;Зайдите на сайт ib.open.ru и нажмите «Регистрация»;Введите номер карты, согласитесь с правилами использования интернет-банка и нажмите «Далее»;Введите код из SMS и нажмите «Далее»;Придумайте логин и пароль, повторите пароль и нажмите «Готово»;Вы успешно зарегистрировалтись. Для входа в интернет-банк нажмите «Войти в интернет-банк»; ; ; ; ; ; ; ; ; 
узнать процентный ставка вклад;386;Вклады;Процентная ставка;Как узнать процентную ставку по вкладу;На вкладке «Мои продукты» откройте раздел «Вклады». Найдите нужный вклад. Процентная ставка отображается под его названием.; ; ; ; ; ; ; ; ; ; ; ; ; 
открыть брокерский счёт;390;Брокерский счет;Открытие ;Как открыть брокерский счет;Перейдите на вкладку «Инвестиции».;В блоке «Брокерский счет» нажмите «Открыть счет». Если необходиме выберите дополнительные услугу торговые идеи от аналитиков или откройте индивидуальный инвестиционный счет (ИИС);Чтобы подробнее узнать о торговых идеях, нажмите «О торговых идеях», об индивидуальном инвестиционном счете, нажмите «Подробнее об ИИС», о тарифах брокерского счета — нажмите «Подробнее о тарифах»;Дальше нужно заполнить заявку — она состоит из 5 шагов. На первом шаге введите свою электронную почту. На нее после оформления заявки отправим документы. Нажмите «Далее»;Ознакомьтесь с документами и нажмите «Далее»;Проверьте свои данные — ФИО, телефон, адрес регистрации и серию и номер паспорта, а также укажите страну рождения. Ознакомьтесь с заключением об электронной подписи и нажмите «Подтверждаю». Если данные изменились — их можно изменить только в отделении банка.;Подтвердите, что вы:   — налоговый резидент только РФ  — не гражданин и не налоговый резидент США и не родился на территории США  — не иностранное или российское должностное лицо, не должностное лицо публичной международной организации, а также не его супруг или близкий родственник  — не собираетесь совершать операции в интересах другого человека, а принимаемые вами решения не будут контролироваться/подвергаться влиянию со стороны иных лиц (бенефициарных владельцев)    Если все верно, нажмите «Подтверждаю» и подождите пару минут, пока мы подготовим ваши документы;Ознакомьтесь с документами:  заявлением о присоединении, заявлением об обслуживании и анкетой. Нажмите «Подписать»;Введите SMS-код для подписи документов;Готово. Вы получите SMS, когда брокерский счет будет открыт. После этого можно зарегистрироваться в приложении «Открытие Брокер». Доступ для совершения операций появится в течение 24 часов; ; ; ; 
пополнить брокерский счёт;392;Брокерский счет;Пополнение ;Как пополнить брокерский счет;Перейдите в раздел «Инвестиции»;Нажмите «Пополнить» с нижнем левом углу панели «Ваши продукты в Открытие Брокер»;Выберите куда перевести деньги — счет и портфель, а также карту или счет, откуда перевести деньги. Введите сумму и нажмите «Пополнить»;Введите SMS-код для подтверждения операции;Перевод принят в обработку; ; ; ; ; ; ; ; ; 
перевести деньга оплата пиф;394;Инвестиции;Оплата ПИФов;Как перевести деньги в оплату ПИФов; ; ; ; ; ; ; ; ; ; ; ; ; ; 
